epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.17896537835896015,0.5592668073717505,0.9722332407774693,0.9466984317826218,0.9048814567061653,0.9187514811772123
2,0.08032419867068528,0.25101312084589156,0.9688615628718762,0.9157581609580339,0.9072154454096725,0.9091228506635184
3,0.06933468591794371,0.2166708934935741,0.9763982546608488,0.9464169571458974,0.9049618720113903,0.9235198858929472
4,0.05559764632210135,0.17374264475656673,0.9682665608885362,0.9235881595028913,0.9010699953412278,0.9081873600948592
5,0.0454351648055017,0.1419848900171928,0.9767949226497422,0.9529834113729589,0.9017286237364942,0.9226727309390322
6,0.03717438160441816,0.11616994251380675,0.9773899246330822,0.945007414249783,0.9085544884854837,0.9233553471686907
7,0.04127803878998384,0.12899387121869949,0.9765965886552955,0.9101444392154789,0.9313810994315928,0.9197157099367465
8,0.03800459692394361,0.11876436538732378,0.9716382387941294,0.9155975567059386,0.9123339327309731,0.9127115294297505
9,0.021239106833003462,0.06637220885313581,0.9761999206664023,0.9027463224243236,0.923457009320641,0.9120865397772774
10,0.022646154049783946,0.07076923140557483,0.9716382387941294,0.9026526926804248,0.9276568392856065,0.9141909136264347
